Alabama,40.94563426688632,14.188402975910472
Alaska,28.92119275825346,27.2047470197666
Arizona,26.039938160267972,14.066088576119034
Arkansas,37.66026711185309,15.284184297923865
California,35.813386389143965,21.95562700160008
Colorado,27.606626506024096,16.386564928585333
Connecticut,33.467696629213485,18.456317043843548
Delaware,35.87263626251391,16.869195181723548
 District  Of  Columbia ,40.29010695187166,15.898525555786101
Florida,29.01501091703057,12.318440378353671
Georgia,38.82469077069457,14.649686792756455
Hawaii,32.37195452084461,18.670275470915232
Idaho,32.86917416189697,24.32861273478081
Illinois,40.5430485762144,20.77413256592456
Indiana,41.22862167509343,18.514683354460292
Iowa,35.4266563547306,16.80617046157535
Kansas,31.258992805755394,15.536687475857608
Kentucky,37.84067085953878,14.651419964024653
Louisiana,35.900304414003045,14.663785688634064
Maine,28.208350222942844,16.944818939220667
Maryland,38.09337913803873,17.09152713460983
Massachusetts,27.616609783845277,15.042219194813164
Michigan,37.67556373676944,18.42907703860043
Minnesota,28.730970504281636,15.541328381178236
Mississippi,37.18114874815906,13.819032592959427
Missouri,39.0011598237068,16.358803119108796
Montana,28.02409638554217,20.785175563558763
Nebraska,32.705598455598455,15.307388495104433
Nevada,28.089194499017683,18.03855445634428
 New  Hampshire ,28.775830258302584,15.923713762023437
 New  Jersey ,36.586309523809526,17.742273190392094
 New  Mexico ,27.22444889779559,14.596743410826207
 New  York ,33.77142857142857,17.05940584491904
 North  Carolina ,35.59988127040665,13.672282413671859
 North  Dakota ,25.625395569620252,27.614754989963078
Ohio,42.017724510465904,17.61195173697532
Oklahoma,33.724515585509685,14.49480534110394
Oregon,29.254032258064516,21.161567258707517
Pennsylvania,42.055078751296804,17.602776685220267
 Puerto  Rico ,26.76098901098901,15.412438721329012
 Rhode  Island ,30.050122249388753,16.268276289782623
 South  Carolina ,32.92478031634447,14.416546583579514
 South  Dakota ,23.71437422552664,16.461443548295467
Tennessee,36.04512105649303,13.728928142076281
Texas,36.4035774175517,15.445520500327019
Utah,27.71178821178821,21.23805131096912
Vermont,28.293132328308207,18.34975929333396
 Virgin  Islands ,15.2,5.116422361159971
Virginia,34.10974155069582,14.261727178186206
Washington,28.646726330664155,18.231272331128668
 West  Virginia ,39.926279271465745,16.437136501527768
Wisconsin,38.62775330396476,17.615220835849307
Wyoming,17.854286428392903,15.999828506797762
